Fecha,toneladas,dia_semana,dias_desde_festivo,dias_hasta_festivo,mes,trimestre,isla,toneladas_lag_1,toneladas_lag_2,toneladas_lag_3,toneladas_lag_7,toneladas_media_7d,toneladas_media_14d,toneladas_media_30d,toneladas_max_7d,toneladas_min_7d
2024-05-25,0.0,5,24,5,5,2,GC,0.0,24.220271,46.141529,23.09119,20.123052285714287,16.701717357142858,18.69001823333333,46.141529,0.0
2024-05-25,24.094323,5,24,5,5,2,TF,23.850946,71.920563,24.075844,23.973246,44.53459542857143,37.71222871428571,30.3633375,72.038369,23.850946
2024-05-26,23.039145,6,25,4,5,2,GC,0.0,0.0,24.220271,0.0,16.82431085714286,16.701717357142858,17.884180566666664,46.141529,0.0
2024-05-26,47.032911,6,25,4,5,2,TF,24.094323,23.850946,71.920563,47.9416,44.55189214285715,37.72839464285715,29.5942676,72.038369,23.850946
2024-05-27,0.0,0,26,3,5,2,GC,23.039145,0.0,0.0,24.237396,20.115617285714286,18.347370571428574,18.652152066666662,46.141529,0.0
2024-05-27,0.0,0,26,3,5,2,TF,47.032911,24.094323,23.850946,47.9416,44.42207942857142,39.37420085714286,29.5692765,72.038369,23.850946
2024-05-28,23.17584,1,27,2,5,2,GC,0.0,23.039145,0.0,23.17098,16.653132142857142,15.070889142857142,18.652152066666662,46.141529,0.0
2024-05-28,24.094323,1,27,2,5,2,TF,0.0,47.032911,24.094323,72.038369,37.57327942857143,35.93309971428572,28.7667891,72.038369,0.0
2024-05-29,47.099781,2,28,1,5,2,GC,23.17584,0.0,23.039145,46.141529,16.653826428571428,15.080051714285714,17.8859361,46.141529,0.0
2024-05-29,49.984688,2,28,1,5,2,TF,24.094323,0.0,47.032911,24.075844,30.72413,35.94445614285714,27.9953862,71.920563,0.0
2024-05-30,23.103678,3,0,0,5,2,GC,47.099781,23.17584,0.0,24.220271,16.790719571428575,16.72686657142857,18.689147733333336,47.099781,0.0
2024-05-30,0.0,3,0,0,5,2,TF,49.984688,24.094323,0.0,71.920563,34.42539342857143,37.79227328571428,28.8631284,71.920563,0.0
2024-05-31,23.094838,4,1,76,5,2,GC,23.103678,47.099781,23.17584,0.0,16.631206285714285,18.37712928571429,18.65607763333333,47.099781,0.0
2024-05-31,24.094323,4,1,76,5,2,TF,0.0,49.984688,24.094323,23.850946,24.151027285714285,34.3588755,28.0612977,49.984688,0.0
2024-06-01,1.7373593,5,2,75,6,2,GC,23.094838,23.103678,47.099781,0.0,19.93046885714286,20.02676057142857,18.65914873333333,47.099781,0.0
2024-06-01,24.095546,5,2,75,6,2,TF,24.094323,0.0,49.984688,24.094323,24.185795428571428,34.36019542857143,28.0619544,49.984688,0.0
2024-06-02,23.03084,6,3,74,6,2,GC,1.7373593,23.094838,23.103678,23.039145,20.178663042857146,18.501486950000004,18.71706071,47.099781,0.0
2024-06-02,22.978947,6,3,74,6,2,TF,24.095546,24.094323,0.0,47.032911,24.18597014285714,34.36893114285714,28.0619544,49.984688,0.0
2024-06-03,45.905682,0,4,73,6,2,GC,23.03084,1.7373593,23.094838,0.0,20.17747661428572,20.146546950000005,19.484755376666666,47.099781,0.0
2024-06-03,23.830222,0,4,73,6,2,TF,22.978947,24.095546,24.094323,0.0,20.74968957142857,32.5858845,28.0247752,49.984688,0.0
2024-06-04,24.151451,1,5,72,6,2,GC,45.905682,23.03084,1.7373593,23.17584,26.735431185714283,21.69428166428571,20.248282976666665,47.099781,1.7373593
